sku_id,product_name,category,unit_cost,selling_price,units_sold_last_12m,inventory_on_hand
SKU-10054,Kitchenware Item 54,Kitchenware,11.98,11.35,21,641
SKU-10055,Kitchenware Item 55,Kitchenware,6.68,6.22,36,352
SKU-10056,Bedding Item 56,Bedding,40.21,151.33,245,56
SKU-10057,Gardening Item 57,Gardening,99.24,103.45,12,405
SKU-10058,Gardening Item 58,Gardening,121.33,151.51,5675,845
SKU-10059,Home Decor Item 59,Home Decor,35.81,81.9,2150,257
SKU-10060,Furniture Item 60,Furniture,209.51,238.12,2559,736
SKU-10061,Home Decor Item 61,Home Decor,99.36,331.01,241,31
SKU-10062,Home Decor Item 62,Home Decor,68.74,77.8,3679,585
SKU-10063,Kitchenware Item 63,Kitchenware,20.38,37.27,4118,652
SKU-10064,Bedding Item 64,Bedding,12.4,11.39,20,588
SKU-10065,Home Decor Item 65,Home Decor,65.79,251.98,118,61
SKU-10066,Furniture Item 66,Furniture,538.1,1780.61,50,13
SKU-10067,Furniture Item 67,Furniture,118.56,438.83,268,21
SKU-10068,Furniture Item 68,Furniture,501.36,1093.93,1956,467
SKU-10069,Gardening Item 69,Gardening,124.86,348.82,92,22
SKU-10070,Bedding Item 70,Bedding,24.11,53.83,3546,289
SKU-10071,Home Decor Item 71,Home Decor,128.28,254.32,1417,395
SKU-10072,Furniture Item 72,Furniture,587.72,1503.84,206,98
SKU-10073,Home Decor Item 73,Home Decor,145.46,527.43,150,73
SKU-10074,Gardening Item 74,Gardening,148.67,173.67,4143,689
SKU-10075,Home Decor Item 75,Home Decor,43.4,157.63,72,39
SKU-10076,Kitchenware Item 76,Kitchenware,29.04,33.81,2728,1198
SKU-10077,Gardening Item 77,Gardening,64.49,154.32,4304,464
SKU-10078,Bedding Item 78,Bedding,143.01,132.03,18,443
SKU-10079,Home Decor Item 79,Home Decor,22.84,80.14,229,62
SKU-10080,Kitchenware Item 80,Kitchenware,10.11,10.6,38,933
SKU-10081,Home Decor Item 81,Home Decor,113.18,302.84,124,85
SKU-10082,Kitchenware Item 82,Kitchenware,39.27,103.12,279,22
SKU-10083,Furniture Item 83,Furniture,377.66,309.81,1,464
SKU-10084,Gardening Item 84,Gardening,91.38,91.68,21,810
SKU-10085,Kitchenware Item 85,Kitchenware,31.63,37.85,5486,1375
SKU-10086,Gardening Item 86,Gardening,44.82,51.58,5522,1253
SKU-10087,Bedding Item 87,Bedding,90.01,74.65,7,660
SKU-10088,Kitchenware Item 88,Kitchenware,35.65,41.88,2504,868
SKU-10089,Kitchenware Item 89,Kitchenware,44.09,55.57,2133,1184
SKU-10090,Home Decor Item 90,Home Decor,16.04,16.82,20,528
SKU-10091,Bedding Item 91,Bedding,87.54,73.67,17,604
SKU-10092,Kitchenware Item 92,Kitchenware,33.24,119.85,193,84
SKU-10093,Bedding Item 93,Bedding,144.22,305.59,1357,572
SKU-10094,Furniture Item 94,Furniture,231.68,265.48,4745,1039
SKU-10095,Bedding Item 95,Bedding,60.45,74.77,4508,1424
SKU-10096,Home Decor Item 96,Home Decor,137.53,124.35,17,1008
SKU-10097,Kitchenware Item 97,Kitchenware,23.82,19.21,4,1100
SKU-10098,Kitchenware Item 98,Kitchenware,26.62,25.25,10,362
SKU-10099,Kitchenware Item 99,Kitchenware,48.65,39.69,12,404
SKU-10100,Gardening Item 100,Gardening,28.74,69.13,3870,636
SKU-10101,Home Decor Item 101,Home Decor,111.66,96.23,18,377
SKU-10102,Kitchenware Item 102,Kitchenware,10.81,9.21,12,748
SKU-10103,Kitchenware Item 103,Kitchenware,39.06,73.42,3142,353
SKU-10104,Furniture Item 104,Furniture,464.22,466.12,11,535
SKU-10105,Home Decor Item 105,Home Decor,22.38,18.65,16,602
SKU-10106,Home Decor Item 106,Home Decor,96.84,80.78,38,1063
SKU-10107,Furniture Item 107,Furniture,345.41,1150.99,79,60
SKU-10108,Furniture Item 108,Furniture,343.78,1328.95,265,39
SKU-10109,Furniture Item 109,Furniture,703.65,643.73,3,700
SKU-10110,Furniture Item 110,Furniture,638.24,1586.69,1068,252
SKU-10111,Furniture Item 111,Furniture,330.13,994.45,289,32
SKU-10112,Gardening Item 112,Gardening,29.44,104.34,153,34
SKU-10113,Gardening Item 113,Gardening,132.4,365.24,209,60
SKU-10114,Gardening Item 114,Gardening,125.05,141.98,6777,904
SKU-10115,Kitchenware Item 115,Kitchenware,29.05,34.07,5117,577
SKU-10116,Furniture Item 116,Furniture,583.28,1246.35,3296,413
SKU-10117,Gardening Item 117,Gardening,138.92,334.5,2049,207
SKU-10118,Kitchenware Item 118,Kitchenware,31.88,27.38,21,327
SKU-10119,Furniture Item 119,Furniture,623.23,1179.89,2335,202
SKU-10120,Gardening Item 120,Gardening,84.5,173.04,4577,214
SKU-10121,Kitchenware Item 121,Kitchenware,38.18,77.34,2062,430
SKU-10122,Furniture Item 122,Furniture,474.73,578.57,5596,1079
SKU-10123,Furniture Item 123,Furniture,652.42,793.89,4158,969
SKU-10124,Furniture Item 124,Furniture,490.42,1319.9,285,50
SKU-10125,Home Decor Item 125,Home Decor,60.83,174.38,275,68
SKU-10126,Home Decor Item 126,Home Decor,56.25,48.17,21,881
SKU-10127,Bedding Item 127,Bedding,129.11,248.08,3397,336
SKU-10128,Gardening Item 128,Gardening,83.43,108.42,4595,505
SKU-10129,Furniture Item 129,Furniture,503.2,505.35,14,1180
SKU-10130,Gardening Item 130,Gardening,124.92,117.79,10,734
SKU-10131,Home Decor Item 131,Home Decor,117.73,270.5,2141,424
SKU-10132,Bedding Item 132,Bedding,43.94,102.7,3137,749
SKU-10133,Home Decor Item 133,Home Decor,80.85,75.45,12,972
SKU-10134,Furniture Item 134,Furniture,417.99,1665.66,187,22
SKU-10135,Furniture Item 135,Furniture,161.51,376.66,3376,749
SKU-10136,Gardening Item 136,Gardening,58.84,60.8,13,758
SKU-10137,Kitchenware Item 137,Kitchenware,14.23,17.76,4560,1417
SKU-10138,Bedding Item 138,Bedding,127.86,297.31,1872,490
SKU-10139,Home Decor Item 139,Home Decor,36.1,43.48,2077,631
SKU-10140,Kitchenware Item 140,Kitchenware,44.47,52.94,4343,1115
SKU-10141,Gardening Item 141,Gardening,97.37,316.86,112,34
SKU-10142,Kitchenware Item 142,Kitchenware,45.48,50.63,3997,603
SKU-10143,Gardening Item 143,Gardening,86.0,105.4,4626,1467
SKU-10144,Furniture Item 144,Furniture,197.49,182.45,28,777
SKU-10145,Gardening Item 145,Gardening,120.4,276.31,2120,610
SKU-10146,Kitchenware Item 146,Kitchenware,6.51,21.1,59,83
SKU-10147,Kitchenware Item 147,Kitchenware,9.63,36.31,96,97
SKU-10148,Bedding Item 148,Bedding,65.62,60.47,4,623
SKU-10149,Bedding Item 149,Bedding,118.06,269.87,3674,491
SKU-10150,Furniture Item 150,Furniture,276.26,356.88,6106,1371
SKU-10151,Furniture Item 151,Furniture,763.1,1447.89,3188,409
SKU-10152,Kitchenware Item 152,Kitchenware,16.52,13.64,11,623
SKU-10153,Home Decor Item 153,Home Decor,139.15,124.35,27,350
SKU-10154,Home Decor Item 154,Home Decor,24.59,22.45,10,1113
SKU-10155,Home Decor Item 155,Home Decor,147.88,152.35,22,1130
SKU-10156,Gardening Item 156,Gardening,92.78,108.28,3332,935
SKU-10157,Kitchenware Item 157,Kitchenware,5.21,6.16,2574,1101
SKU-10158,Gardening Item 158,Gardening,139.21,173.67,2474,1028
SKU-10159,Gardening Item 159,Gardening,14.6,13.79,23,479
SKU-10160,Home Decor Item 160,Home Decor,138.08,159.55,6158,1165
SKU-10161,Bedding Item 161,Bedding,39.78,156.78,130,58
SKU-10162,Bedding Item 162,Bedding,68.05,131.27,2724,526
SKU-10163,Kitchenware Item 163,Kitchenware,18.95,21.64,4482,1222
SKU-10164,Home Decor Item 164,Home Decor,97.5,118.7,5495,1268
SKU-10165,Gardening Item 165,Gardening,73.46,236.66,269,47
SKU-10166,Gardening Item 166,Gardening,31.73,58.8,3972,657
SKU-10167,Gardening Item 167,Gardening,100.16,113.3,2054,677
SKU-10168,Home Decor Item 168,Home Decor,67.12,191.06,116,68
SKU-10169,Home Decor Item 169,Home Decor,93.31,105.97,5300,1108
SKU-10170,Bedding Item 170,Bedding,43.35,108.02,3143,487
SKU-10171,Gardening Item 171,Gardening,144.77,130.53,20,1122
SKU-10172,Furniture Item 172,Furniture,109.1,261.15,3198,580
SKU-10173,Gardening Item 173,Gardening,91.63,117.48,2513,1208
SKU-10174,Bedding Item 174,Bedding,57.02,54.03,2,695
SKU-10175,Bedding Item 175,Bedding,97.38,121.99,5577,779
SKU-10176,Kitchenware Item 176,Kitchenware,44.08,50.09,6223,1381
SKU-10177,Gardening Item 177,Gardening,81.74,78.34,1,658
SKU-10178,Kitchenware Item 178,Kitchenware,11.27,9.39,3,328
SKU-10179,Home Decor Item 179,Home Decor,106.77,413.36,119,94
SKU-10180,Furniture Item 180,Furniture,503.56,574.71,6683,1373
SKU-10181,Home Decor Item 181,Home Decor,46.92,57.21,6826,767
SKU-10182,Home Decor Item 182,Home Decor,103.11,246.08,2708,675
SKU-10183,Furniture Item 183,Furniture,395.43,449.55,3386,1192
SKU-10184,Bedding Item 184,Bedding,117.94,236.12,4850,711
SKU-10185,Bedding Item 185,Bedding,110.67,142.74,3250,554
SKU-10186,Home Decor Item 186,Home Decor,77.73,89.58,2750,1238
SKU-10187,Bedding Item 187,Bedding,17.2,19.45,6460,700
SKU-10188,Furniture Item 188,Furniture,431.97,538.07,4343,716
SKU-10189,Home Decor Item 189,Home Decor,106.38,118.67,6226,607
SKU-10190,Bedding Item 190,Bedding,145.48,298.62,3571,243
SKU-10191,Gardening Item 191,Gardening,138.42,316.08,1329,696
SKU-10192,Bedding Item 192,Bedding,85.87,82.41,7,380
SKU-10193,Home Decor Item 193,Home Decor,106.92,109.68,24,567
SKU-10194,Gardening Item 194,Gardening,148.27,144.77,31,1010
SKU-10195,Kitchenware Item 195,Kitchenware,13.13,38.97,299,88
SKU-10196,Home Decor Item 196,Home Decor,112.34,278.58,4911,676
SKU-10197,Furniture Item 197,Furniture,621.55,1257.62,4042,689
SKU-10198,Kitchenware Item 198,Kitchenware,34.26,38.51,4667,597
SKU-10199,Gardening Item 199,Gardening,107.48,126.92,6278,538
SKU-10200,Kitchenware Item 200,Kitchenware,29.23,100.51,190,25
SKU-10201,Home Decor Item 201,Home Decor,96.22,114.73,2310,1045
SKU-10202,Gardening Item 202,Gardening,132.46,516.44,209,48
SKU-10203,Bedding Item 203,Bedding,17.38,37.11,1317,471
SKU-10204,Bedding Item 204,Bedding,147.77,130.64,24,639
SKU-10205,Home Decor Item 205,Home Decor,112.52,230.46,4500,523
SKU-10206,Furniture Item 206,Furniture,263.53,642.27,1704,784
SKU-10207,Kitchenware Item 207,Kitchenware,22.62,55.77,3234,260
SKU-10208,Home Decor Item 208,Home Decor,22.52,28.75,3463,843
SKU-10209,Gardening Item 209,Gardening,136.52,143.05,6,870
SKU-10210,Bedding Item 210,Bedding,127.3,143.09,5564,606
SKU-10211,Furniture Item 211,Furniture,368.86,865.25,3553,716
SKU-10212,Home Decor Item 212,Home Decor,98.17,119.71,5170,1252
SKU-10213,Home Decor Item 213,Home Decor,46.43,164.56,131,97
SKU-10214,Gardening Item 214,Gardening,124.22,149.98,2892,828
SKU-10215,Bedding Item 215,Bedding,91.21,189.16,2640,740
SKU-10216,Kitchenware Item 216,Kitchenware,7.0,6.17,8,836
SKU-10217,Home Decor Item 217,Home Decor,112.93,124.34,2974,750
SKU-10218,Home Decor Item 218,Home Decor,16.83,47.63,86,86
SKU-10219,Bedding Item 219,Bedding,20.66,21.09,39,617
SKU-10220,Home Decor Item 220,Home Decor,136.91,481.52,89,86
SKU-10221,Home Decor Item 221,Home Decor,112.75,393.23,129,68
SKU-10222,Gardening Item 222,Gardening,32.46,40.23,4604,669
SKU-10223,Bedding Item 223,Bedding,96.61,98.58,6,856
SKU-10224,Furniture Item 224,Furniture,425.83,427.95,9,736
SKU-10225,Furniture Item 225,Furniture,672.58,581.56,28,523
SKU-10226,Home Decor Item 226,Home Decor,96.37,79.89,16,1165
SKU-10227,Bedding Item 227,Bedding,11.27,9.81,5,754
SKU-10228,Furniture Item 228,Furniture,402.57,385.72,27,521
SKU-10229,Home Decor Item 229,Home Decor,24.35,24.17,31,623
SKU-10230,Gardening Item 230,Gardening,33.29,31.48,16,1004
SKU-10231,Furniture Item 231,Furniture,152.29,158.89,13,584
SKU-10232,Bedding Item 232,Bedding,114.95,237.78,3428,228
SKU-10233,Gardening Item 233,Gardening,125.01,156.77,5999,1069
SKU-10234,Furniture Item 234,Furniture,211.26,250.39,2515,896
SKU-10235,Kitchenware Item 235,Kitchenware,12.36,10.81,28,1099
SKU-10236,Furniture Item 236,Furniture,640.98,740.1,5530,1348
SKU-10237,Bedding Item 237,Bedding,14.38,14.59,15,383
SKU-10238,Gardening Item 238,Gardening,48.39,42.59,0,826
SKU-10239,Furniture Item 239,Furniture,249.17,573.21,1792,470
SKU-10240,Bedding Item 240,Bedding,76.25,77.56,24,608
SKU-10241,Gardening Item 241,Gardening,128.27,128.17,2,992
SKU-10242,Bedding Item 242,Bedding,145.45,310.84,1526,405
SKU-10243,Kitchenware Item 243,Kitchenware,32.33,36.86,2520,1455
SKU-10244,Home Decor Item 244,Home Decor,47.66,49.86,10,1020
SKU-10245,Home Decor Item 245,Home Decor,20.14,26.08,3389,665
SKU-10246,Gardening Item 246,Gardening,107.3,110.19,37,1078
SKU-10247,Gardening Item 247,Gardening,24.69,29.98,4936,962
SKU-10248,Bedding Item 248,Bedding,108.35,423.83,209,11
SKU-10249,Kitchenware Item 249,Kitchenware,8.95,10.43,2917,665
SKU-10250,Furniture Item 250,Furniture,582.63,472.1,33,727
SKU-10251,Kitchenware Item 251,Kitchenware,47.82,87.13,1634,272
SKU-10252,Kitchenware Item 252,Kitchenware,36.91,36.92,27,617
SKU-10253,Gardening Item 253,Gardening,77.82,258.46,257,67
SKU-10254,Furniture Item 254,Furniture,436.63,1009.54,4771,211
SKU-10255,Bedding Item 255,Bedding,32.34,33.76,18,655
SKU-10256,Home Decor Item 256,Home Decor,35.5,32.82,31,893
SKU-10257,Furniture Item 257,Furniture,557.28,721.66,2311,1142
SKU-10258,Bedding Item 258,Bedding,37.94,118.65,142,88
SKU-10259,Kitchenware Item 259,Kitchenware,42.82,98.87,2748,223
SKU-10260,Bedding Item 260,Bedding,98.03,90.79,19,861
SKU-10261,Kitchenware Item 261,Kitchenware,28.13,100.93,299,75
SKU-10262,Furniture Item 262,Furniture,655.07,2219.72,292,21
SKU-10263,Gardening Item 263,Gardening,97.22,277.42,192,35
SKU-10264,Bedding Item 264,Bedding,137.26,282.9,1939,201
SKU-10265,Home Decor Item 265,Home Decor,129.61,145.1,4365,880
SKU-10266,Kitchenware Item 266,Kitchenware,34.82,72.2,4216,227
SKU-10267,Furniture Item 267,Furniture,700.59,1640.38,2472,500
SKU-10268,Gardening Item 268,Gardening,133.72,160.99,4639,1277
SKU-10269,Bedding Item 269,Bedding,126.04,142.86,4360,1479
SKU-10270,Bedding Item 270,Bedding,15.13,14.13,36,604
SKU-10271,Kitchenware Item 271,Kitchenware,36.74,46.8,3390,1119
SKU-10272,Gardening Item 272,Gardening,25.67,30.96,2968,519
SKU-10273,Furniture Item 273,Furniture,127.54,245.64,1197,258
SKU-10274,Home Decor Item 274,Home Decor,24.46,66.6,61,62
SKU-10275,Furniture Item 275,Furniture,775.58,1743.03,1216,384
SKU-10276,Gardening Item 276,Gardening,78.44,210.89,133,54
SKU-10277,Bedding Item 277,Bedding,108.66,123.05,6470,840
SKU-10278,Kitchenware Item 278,Kitchenware,37.89,91.22,2381,285
SKU-10279,Furniture Item 279,Furniture,563.14,452.98,9,444
SKU-10280,Furniture Item 280,Furniture,708.23,1890.75,125,98
SKU-10281,Bedding Item 281,Bedding,104.71,129.15,5124,860
SKU-10282,Furniture Item 282,Furniture,344.0,630.81,1703,784
SKU-10283,Kitchenware Item 283,Kitchenware,23.31,19.18,8,458
SKU-10284,Kitchenware Item 284,Kitchenware,9.91,29.64,151,28
SKU-10285,Furniture Item 285,Furniture,633.6,644.51,18,940
SKU-10286,Kitchenware Item 286,Kitchenware,19.78,61.2,299,30
SKU-10287,Gardening Item 287,Gardening,64.4,77.87,6400,790
SKU-10288,Bedding Item 288,Bedding,12.05,42.21,249,83
SKU-10289,Furniture Item 289,Furniture,424.45,547.66,5865,949
SKU-10290,Bedding Item 290,Bedding,13.59,15.35,2011,803
SKU-10291,Home Decor Item 291,Home Decor,44.45,55.69,2042,825
SKU-10292,Furniture Item 292,Furniture,600.84,1678.56,70,89
SKU-10293,Home Decor Item 293,Home Decor,135.72,159.61,2714,823
SKU-10294,Home Decor Item 294,Home Decor,77.09,164.97,2357,572
SKU-10295,Bedding Item 295,Bedding,103.81,97.04,27,443
SKU-10296,Furniture Item 296,Furniture,527.23,476.3,12,644
SKU-10297,Gardening Item 297,Gardening,27.25,25.38,38,882
SKU-10298,Kitchenware Item 298,Kitchenware,30.53,36.17,2035,1385
SKU-10299,Kitchenware Item 299,Kitchenware,21.81,85.64,96,31
SKU-10300,Home Decor Item 300,Home Decor,133.79,164.47,6616,1483
SKU-10301,Furniture Item 301,Furniture,352.54,313.18,23,453
SKU-10302,Gardening Item 302,Gardening,119.27,141.31,5683,701
SKU-10303,Kitchenware Item 303,Kitchenware,9.3,29.16,274,78
SKU-10304,Kitchenware Item 304,Kitchenware,38.16,31.44,20,731
SKU-10305,Home Decor Item 305,Home Decor,99.88,345.27,209,82
SKU-10306,Home Decor Item 306,Home Decor,93.23,107.67,2769,762
SKU-10307,Home Decor Item 307,Home Decor,104.62,129.57,6008,1498
SKU-10308,Bedding Item 308,Bedding,124.62,419.66,151,48
SKU-10309,Home Decor Item 309,Home Decor,21.12,46.82,1352,272
SKU-10310,Kitchenware Item 310,Kitchenware,15.2,18.06,2707,1327
SKU-10311,Furniture Item 311,Furniture,568.72,1238.68,1159,429
SKU-10312,Furniture Item 312,Furniture,576.09,672.07,6153,1337
SKU-10313,Furniture Item 313,Furniture,795.9,3178.19,258,96
SKU-10314,Bedding Item 314,Bedding,18.42,72.62,85,40
SKU-10315,Kitchenware Item 315,Kitchenware,12.67,16.02,2632,511
SKU-10316,Kitchenware Item 316,Kitchenware,18.54,19.13,2,536
SKU-10317,Bedding Item 317,Bedding,146.38,358.48,3003,563
SKU-10318,Kitchenware Item 318,Kitchenware,42.89,123.77,247,81
SKU-10319,Kitchenware Item 319,Kitchenware,32.38,115.38,293,23
SKU-10320,Bedding Item 320,Bedding,52.44,61.68,3601,1269
SKU-10321,Gardening Item 321,Gardening,43.47,134.55,116,32
SKU-10322,Furniture Item 322,Furniture,520.42,1914.83,212,24
SKU-10323,Bedding Item 323,Bedding,129.2,145.13,2560,1093
SKU-10324,Home Decor Item 324,Home Decor,63.29,62.04,29,366
SKU-10325,Bedding Item 325,Bedding,124.62,142.66,6225,705
SKU-10326,Bedding Item 326,Bedding,90.23,75.17,1,1121
SKU-10327,Kitchenware Item 327,Kitchenware,46.52,59.53,3133,737
SKU-10328,Home Decor Item 328,Home Decor,54.45,45.56,5,416
SKU-10329,Furniture Item 329,Furniture,147.72,289.94,1536,372
SKU-10330,Bedding Item 330,Bedding,118.74,239.65,1091,731
SKU-10331,Furniture Item 331,Furniture,294.43,251.44,31,553
SKU-10332,Furniture Item 332,Furniture,555.14,1218.59,4058,544
SKU-10333,Furniture Item 333,Furniture,439.22,427.7,30,756
SKU-10334,Gardening Item 334,Gardening,33.89,68.2,2179,462
SKU-10335,Bedding Item 335,Bedding,96.53,359.17,89,61
SKU-10336,Home Decor Item 336,Home Decor,97.35,349.13,280,72
SKU-10337,Home Decor Item 337,Home Decor,59.59,222.96,263,95
SKU-10338,Home Decor Item 338,Home Decor,11.54,14.52,4293,1160
SKU-10339,Furniture Item 339,Furniture,576.68,1124.9,1900,412
SKU-10340,Furniture Item 340,Furniture,268.84,219.42,17,971
SKU-10341,Bedding Item 341,Bedding,62.0,73.83,4442,807
SKU-10342,Home Decor Item 342,Home Decor,78.35,154.39,2587,793
SKU-10343,Gardening Item 343,Gardening,62.62,73.8,5493,1053
SKU-10344,Home Decor Item 344,Home Decor,28.64,57.88,4191,328
SKU-10345,Furniture Item 345,Furniture,406.32,450.08,2241,1455
SKU-10346,Home Decor Item 346,Home Decor,125.52,160.54,2775,699
SKU-10347,Kitchenware Item 347,Kitchenware,32.63,78.88,1855,780
SKU-10348,Bedding Item 348,Bedding,81.71,208.94,126,96
SKU-10349,Gardening Item 349,Gardening,102.26,82.12,34,944
SKU-10350,Bedding Item 350,Bedding,113.25,147.04,2365,935
SKU-10351,Gardening Item 351,Gardening,102.59,214.26,4562,549
SKU-10352,Furniture Item 352,Furniture,114.66,278.54,4291,559
SKU-10353,Kitchenware Item 353,Kitchenware,48.92,131.21,244,77
SKU-10354,Kitchenware Item 354,Kitchenware,33.98,130.59,239,19
SKU-10355,Home Decor Item 355,Home Decor,27.53,33.6,2769,1192
SKU-10356,Bedding Item 356,Bedding,31.93,78.22,3320,382
SKU-10357,Kitchenware Item 357,Kitchenware,21.75,28.02,5697,913
SKU-10358,Bedding Item 358,Bedding,27.01,48.86,1685,321
SKU-10359,Kitchenware Item 359,Kitchenware,16.63,60.41,198,30
SKU-10360,Bedding Item 360,Bedding,17.54,22.75,2661,1033
SKU-10361,Bedding Item 361,Bedding,16.04,36.58,3588,635
SKU-10362,Gardening Item 362,Gardening,145.12,169.57,6183,777
SKU-10363,Gardening Item 363,Gardening,116.15,101.56,2,318
SKU-10364,Home Decor Item 364,Home Decor,23.13,84.22,74,17
SKU-10365,Furniture Item 365,Furniture,490.63,500.62,4,1199
SKU-10366,Gardening Item 366,Gardening,66.21,62.16,24,1195
SKU-10367,Gardening Item 367,Gardening,36.32,43.76,4547,733
SKU-10368,Furniture Item 368,Furniture,687.97,585.21,13,717
SKU-10369,Home Decor Item 369,Home Decor,61.51,78.02,3778,569
SKU-10370,Gardening Item 370,Gardening,149.49,183.67,3404,1405
SKU-10371,Gardening Item 371,Gardening,29.3,103.81,103,30
SKU-10372,Furniture Item 372,Furniture,533.71,628.47,3080,772
SKU-10373,Bedding Item 373,Bedding,81.42,76.94,36,354
SKU-10374,Bedding Item 374,Bedding,88.49,300.79,211,28
SKU-10375,Bedding Item 375,Bedding,125.51,155.51,6501,575
SKU-10376,Furniture Item 376,Furniture,595.38,541.82,18,1039
SKU-10377,Kitchenware Item 377,Kitchenware,24.53,45.23,2651,675
SKU-10378,Gardening Item 378,Gardening,117.32,106.21,32,559
SKU-10379,Bedding Item 379,Bedding,119.99,299.23,2733,323
SKU-10380,Gardening Item 380,Gardening,113.6,96.12,4,872
SKU-10381,Furniture Item 381,Furniture,334.16,738.51,4696,762
SKU-10382,Home Decor Item 382,Home Decor,17.86,18.18,25,648
SKU-10383,Home Decor Item 383,Home Decor,77.33,92.53,2703,1081
SKU-10384,Furniture Item 384,Furniture,156.42,142.22,34,612
SKU-10385,Bedding Item 385,Bedding,117.17,221.68,2851,768
SKU-10386,Bedding Item 386,Bedding,101.97,88.79,29,917
SKU-10387,Bedding Item 387,Bedding,48.6,55.89,2269,1347
SKU-10388,Furniture Item 388,Furniture,691.35,827.9,2840,1195
SKU-10389,Gardening Item 389,Gardening,18.77,17.52,20,818
SKU-10390,Furniture Item 390,Furniture,612.71,2046.62,265,80
SKU-10391,Home Decor Item 391,Home Decor,17.32,21.21,6991,664
SKU-10392,Furniture Item 392,Furniture,785.69,1523.18,4670,504
SKU-10393,Gardening Item 393,Gardening,53.22,47.22,11,724
SKU-10394,Kitchenware Item 394,Kitchenware,11.81,14.31,2597,1092
SKU-10395,Home Decor Item 395,Home Decor,41.84,46.59,4090,1097
SKU-10396,Kitchenware Item 396,Kitchenware,29.46,70.49,1197,716
SKU-10397,Furniture Item 397,Furniture,564.93,718.82,2097,934
